Chore,Amount,Name
Make bed,1,
Make sure room is clean,2,
Put toilet paper in bathrooms,1,
Put towels in bathrooms,1,
Take out trash,2,
Check laundry, sort it, and fold your own,3,
Clean pool,5,
Organize cubby,2,
Clean bathroom counter,2,
Put trash back,1,
Do the dishes,3,
